"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2026,2,4,17,5,2026-04-17,"DL",19790,"DL","N378DA","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0841",-9.00,0.00,0.00,-1,"0800-0859",10.00,"0851","0922",6.00,"0958","0928",-30.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,68.00,47.00,31.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,18,6,2026-04-18,"DL",19790,"DL","N3751B","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0846",-4.00,0.00,0.00,-1,"0800-0859",12.00,"0858","0930",20.00,"0958","0950",-8.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,68.00,64.00,32.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,19,7,2026-04-19,"DL",19790,"DL","N3738B","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0911",21.00,21.00,1.00,1,"0800-0859",10.00,"0921","0953",6.00,"0958","0959",1.00,1.00,0.00,0,"0900-0959",0.00,"",0.00,68.00,48.00,32.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,20,1,2026-04-20,"DL",19790,"DL","N3738B","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0847",-3.00,0.00,0.00,-1,"0800-0859",14.00,"0901","0933",5.00,"0958","0938",-20.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,68.00,51.00,32.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,21,2,2026-04-21,"DL",19790,"DL","N379DA","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0844",-6.00,0.00,0.00,-1,"0800-0859",13.00,"0857","0931",9.00,"0958","0940",-18.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,68.00,56.00,34.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,22,3,2026-04-22,"DL",19790,"DL","N373DA","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0849",-1.00,0.00,0.00,-1,"0800-0859",11.00,"0900","0931",4.00,"0958","0935",-23.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,68.00,46.00,31.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,23,4,2026-04-23,"DL",19790,"DL","N3732J","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0843",-7.00,0.00,0.00,-1,"0800-0859",14.00,"0857","0926",5.00,"0958","0931",-27.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,68.00,48.00,29.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,24,5,2026-04-24,"DL",19790,"DL","N375DA","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0846",-4.00,0.00,0.00,-1,"0800-0859",12.00,"0858","0927",23.00,"0958","0950",-8.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,68.00,64.00,29.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,25,6,2026-04-25,"DL",19790,"DL","N3758Y","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0847",-3.00,0.00,0.00,-1,"0800-0859",16.00,"0903","0933",20.00,"0958","0953",-5.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,68.00,66.00,30.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,26,7,2026-04-26,"DL",19790,"DL","N396DA","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0846",-4.00,0.00,0.00,-1,"0800-0859",18.00,"0904","0933",6.00,"0958","0939",-19.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,68.00,53.00,29.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
